時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,ACTION,bot
2025-07-16 15:15,22879.0,22879.0,22872.0,22872.0,110.0,-6.0,-15566.0,3031.0,-17920.0,18597.0,2354.0,-660.0,空,bot0
2025-07-16 15:21,22879.0,22886.0,22879.0,22886.0,101.0,7.0,-14821.0,3031.0,-17920.0,17852.0,3099.0,707.0,沖,bot0
2025-07-16 15:36,22890.0,22891.0,22885.0,22885.0,92.0,-5.0,-15321.0,3031.0,-18056.0,18352.0,2735.0,-460.0,空,bot0
2025-07-16 16:09,22880.0,22881.0,22879.0,22881.0,18.0,1.0,360.0,360.0,-20619.0,0.0,20979.0,18.0,沖,bot0
2025-07-16 17:57,22898.0,22902.0,22896.0,22896.0,90.0,-2.0,-2972.0,3592.0,-6999.0,6564.0,4027.0,-180.0,空,bot0
2025-07-16 18:46,22891.0,22896.0,22890.0,22896.0,43.0,5.0,391.0,677.0,-5214.0,286.0,5605.0,215.0,沖,bot0
2025-07-16 20:42,22931.0,22936.0,22930.0,22936.0,57.0,5.0,13749.0,16745.0,-435.0,2996.0,14184.0,285.0,多,bot0
2025-07-16 20:49,22949.0,22951.0,22943.0,22943.0,119.0,-8.0,16592.0,17544.0,-354.0,952.0,16946.0,-952.0,沖,bot0
2025-07-16 20:57,22929.0,22935.0,22929.0,22935.0,45.0,4.0,13216.0,17544.0,-354.0,4328.0,13570.0,180.0,多,bot0
2025-07-16 21:03,22936.0,22938.0,22933.0,22933.0,74.0,-3.0,14003.0,17544.0,-354.0,3541.0,14357.0,-222.0,沖,bot0
2025-07-16 21:33,22917.0,22917.0,22910.0,22910.0,44.0,-5.0,-14420.0,17544.0,-14631.0,31964.0,211.0,-220.0,空,bot0
2025-07-16 21:35,22900.0,22906.0,22899.0,22906.0,99.0,6.0,-25249.0,17544.0,-25639.0,42793.0,390.0,594.0,沖,bot0
2025-07-16 21:39,22910.0,22913.0,22906.0,22906.0,37.0,-7.0,-27940.0,17544.0,-27940.0,45484.0,0.0,-259.0,空,bot0
2025-07-16 21:41,22897.0,22897.0,22882.0,22886.0,556.0,-11.0,-35845.0,17544.0,-35845.0,53389.0,0.0,-6116.0,沖,bot0
2025-07-16 21:45,22894.0,22895.0,22889.0,22889.0,74.0,-4.0,-32276.0,17544.0,-37241.0,49820.0,4965.0,-296.0,空,bot0
2025-07-16 21:46,22899.0,22902.0,22898.0,22902.0,71.0,4.0,-30877.0,17544.0,-37241.0,48421.0,6364.0,284.0,沖,bot0
2025-07-16 21:54,22894.0,22899.0,22893.0,22893.0,166.0,-1.0,-36615.0,15322.0,-47912.0,51937.0,11297.0,-166.0,空,bot0
